1521560131746,metadata_log_format,wifi-ble-imu-cell collection
1521560131747,metadata_system_time,1521560131747
1521560131747,metadata_surveyName,/storage/emulated/0/FIND-IT/log.csv
1521560131747,metadata_notes,new collection
1521560131747,metadata_deviceInfo,Boardmsm8952Brand,LenovoDevice,PB2PROHardware,qcomManufacturer,LENOVOModel,Lenovo PB2-690MProduct,phinny_row
83698725394945,accel,BMI160 Accelerometer -Wakeup Secondary,-0.14952087,2.1788635,9.312286,3
83698776337445,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.03225708,-0.022613525,-0.053009033,3
83698776833435,orientation,Orientation,143.53577,-13.158251,-1.1806571,1
83698777370310,linAccel,Linear Acceleration -Wakeup Secondary,0.042233035,-0.060427427,-0.03213215,3
83698777731404,rotVectorAll,Rotation Vector -Wakeup Secondary,0.045566257,-0.10561516,-0.94386125,0.30966932,0.5235988,3
83698778110102,rotVectorGyro,Game Rotation Vector,0.07418016,0.08790989,0.6983381,0.70646524,3
83698778435883,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.045072716,-0.106437296,-0.9402975,0.3201252,0.5235988,3
83698778812289,compass,AK09911 Magnetometer -Wakeup Secondary,-11.1328125,-22.644043,-35.307312,1
83698779113747,accel,BMI160 Accelerometer -Wakeup Secondary,-0.15849304,2.1567078,9.451752,3
83698830287237,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.004562378,-2.4414063E-4,-0.041290283,3
83698830839685,orientation,Orientation,143.75055,-13.065169,-1.1836979,1
83698831554112,linAccel,Linear Acceleration,-0.026006266,-0.04824519,0.11512661,3
83698832036716,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.044941533,-0.1058191,-0.94055396,0.3195948,0.5235988,3
83698832666039,compass,AK09911 Magnetometer -Wakeup Secondary,-10.35614,-24.087524,-34.580994,1
83698833149008,accel,BMI160 Accelerometer -Wakeup Secondary,-0.22732544,2.1543121,9.606186,3
83698835850987,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07366132,0.08725727,0.6973171,0.7076079,3
83698836847654,rotVectorAll,Rotation Vector,0.045166098,-0.104880154,-0.9445683,0.3078164,0.5235988,3
83698840566247,ble,24:0A:C4:00:98:A0,BEACON_2,-92
