user,label,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
ugur,1,2018-03-29 22:04:55,1333664475271,80.27457,-6.283894,3.7144108
ugur,1,2018-03-29 22:04:55,1333609602041,78.85602,-5.7784047,4.4237485
ugur,1,2018-03-29 22:04:55,1333556457354,78.992004,-4.445338,4.2762804
ugur,1,2018-03-29 22:04:55,1333502923344,78.312256,-4.8745446,4.7314453
ugur,1,2018-03-29 22:04:55,1333449075062,76.16342,-7.2637467,3.8223677
ugur,1,2018-03-29 22:04:55,1333395139021,75.38638,-7.677008,3.2512064
ugur,1,2018-03-29 22:04:55,1333342468396,74.59924,-7.599438,1.9260355
ugur,1,2018-03-29 22:04:55,1333287780219,74.00098,-7.7154484,1.7664703
ugur,1,2018-03-29 22:04:55,1333232745635,73.70764,-7.4569864,1.0470142
ugur,1,2018-03-29 22:04:55,1333177237562,73.838165,-7.05028,0.9021567
ugur,1,2018-03-29 22:04:55,1333122083239,74.76672,-6.1899295,2.178916
ugur,1,2018-03-29 22:04:55,1333066650427,75.523865,-5.643229,2.7875235
ugur,1,2018-03-29 22:04:55,1333012925583,76.49118,-5.2846813,2.1482396
ugur,1,2018-03-29 22:04:55,1332958970115,77.61157,-4.4114146,0.7401535
ugur,1,2018-03-29 22:04:55,1332906157094,78.61099,-4.706062,2.6149557
ugur,1,2018-03-29 22:04:55,1332853439542,77.667206,-6.6083875,2.137229
ugur,1,2018-03-29 22:04:55,1332799026469,78.53717,-6.3828993,2.0442455
ugur,1,2018-03-29 22:04:55,1332746492302,79.20853,-6.2424316,2.1892269
ugur,1,2018-03-29 22:04:55,1332694141052,79.2959,-6.4128137,2.2759237
ugur,1,2018-03-29 22:04:55,1332640573917,78.91058,-6.494102,2.4964218
ugur,1,2018-03-29 22:04:55,1332587272875,78.45911,-6.13741,3.1460364
ugur,1,2018-03-29 22:04:55,1332533734438,77.76785,-5.562754,3.6349158
ugur,1,2018-03-29 22:04:55,1332480428083,77.14874,-5.0174117,4.551347
ugur,1,2018-03-29 22:04:55,1332426301365,76.43167,-4.260379,4.3356233
ugur,1,2018-03-29 22:04:55,1332372918031,76.808075,-3.2582135,5.142796
ugur,1,2018-03-29 22:04:55,1332319322302,75.69058,-4.132225,5.4821143
ugur,1,2018-03-29 22:04:55,1332266481573,74.47693,-5.6858053,5.3862314
ugur,1,2018-03-29 22:04:55,1332213249177,74.642944,-5.3309603,5.054191
ugur,1,2018-03-29 22:04:55,1332160418865,74.68518,-4.969957,4.024098
ugur,1,2018-03-29 22:04:55,1332106709698,74.79932,-4.9269075,3.6765187
ugur,1,2018-03-29 22:04:55,1332052292302,74.80914,-5.330912,3.3370337
ugur,1,2018-03-29 22:04:55,1331999415636,75.01312,-5.484327,3.1013136
ugur,1,2018-03-29 22:04:55,1331946885427,75.75818,-5.2648063,3.8214588
ugur,1,2018-03-29 22:04:55,1331892811834,76.148315,-4.9343987,4.5886426
ugur,1,2018-03-29 22:04:55,1331836173969,76.72809,-4.2350616,3.9984536
ugur,1,2018-03-29 22:04:55,1331776940844,78.17285,-2.5509984,3.144482
ugur,1,2018-03-29 22:04:55,1331724548448,79.381805,-1.7427279,4.302749
ugur,1,2018-03-29 22:04:55,1331669466000,80.35187,-1.9565672,5.6643205
ugur,1,2018-03-29 22:04:55,1331614885896,80.65646,-2.832573,5.9180136
ugur,1,2018-03-29 22:04:55,1331561337407,81.8302,-3.0805879,5.898199
ugur,1,2018-03-29 22:04:55,1331506598813,83.112366,-2.5285027,6.212165
ugur,1,2018-03-29 22:04:55,1331453148709,84.0589,-2.3505468,6.883407
