user,label,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
ugur,1,2018-03-23 10:34:21,237966799425365,2.2757907,-0.069811165,2.512909
ugur,1,2018-03-23 10:34:21,237966739346481,-0.14126384,1.0545421,1.5808029
ugur,1,2018-03-23 10:34:21,237966678672289,-0.44854864,1.2416618,0.2969694
ugur,1,2018-03-23 10:34:21,237966621094596,-0.5459689,1.3129189,-0.38399982
ugur,1,2018-03-23 10:34:21,237966562081289,-0.743742,1.5212651,-1.075697
ugur,1,2018-03-23 10:34:21,237966501832596,-1.0066363,1.7819829,-1.5497131
ugur,1,2018-03-23 10:34:21,237966439268443,-0.3884647,1.3015196,-0.7131424
ugur,1,2018-03-23 10:34:21,237966379682327,0.16118312,0.7671148,-1.3066187
ugur,1,2018-03-23 10:34:21,237966320284058,0.34954745,0.5003903,-0.2186184
ugur,1,2018-03-23 10:34:21,237966261726289,0.3503884,0.47119322,-0.15100384
ugur,1,2018-03-23 10:34:21,237966202748481,0.73001695,0.5043105,-0.28720188
ugur,1,2018-03-23 10:34:21,237966143121289,1.2106115,0.50172913,0.5894518
ugur,1,2018-03-23 10:34:21,237966083610597,1.4337744,0.7436501,-0.66220284
ugur,1,2018-03-23 10:34:21,237966024269289,1.2761319,0.58733124,-0.40829659
ugur,1,2018-03-23 10:34:21,237965964683097,1.4303386,0.586891,0.47777176
ugur,1,2018-03-23 10:34:21,237965904973943,0.5856796,0.19017065,1.0991497
ugur,1,2018-03-23 10:34:21,237965845211405,0.49678046,0.07187882,0.12002182
ugur,1,2018-03-23 10:34:21,237965785335558,0.6294865,-0.11775701,-0.76578426
ugur,1,2018-03-23 10:34:21,237965725786020,1.617443,-0.038225025,-1.4406681
ugur,1,2018-03-23 10:34:21,237965665893559,2.91364,-0.4117751,-0.97642994
ugur,1,2018-03-23 10:34:21,237965606055097,2.4046307,-1.4830056,0.98102
ugur,1,2018-03-23 10:34:21,237965546649289,1.7228112,-2.0127387,1.1885071
ugur,1,2018-03-23 10:34:21,237965488407366,1.4068875,-2.048289,0.9118347
ugur,1,2018-03-23 10:34:21,237965429978713,0.71702564,-2.1206107,-0.107037544
ugur,1,2018-03-23 10:34:21,237965369088251,-0.79406524,-2.122711,-0.032610893
ugur,1,2018-03-23 10:34:21,237965311361520,-1.7433345,-2.168408,0.14412975
ugur,1,2018-03-23 10:34:21,237965253236790,-2.312782,-1.600601,-0.8533411
ugur,1,2018-03-23 10:34:21,237965193796559,-2.2965703,-1.025697,-2.4011145
ugur,1,2018-03-23 10:34:21,237965133564059,-1.1869332,-0.98088837,-1.9509015
ugur,1,2018-03-23 10:34:21,237965072590136,0.12402487,-1.1928539,0.19250107
ugur,1,2018-03-23 10:34:21,237965013070097,-0.2231164,-0.9348049,-0.48491478
ugur,1,2018-03-23 10:34:21,237964953650251,-1.1554816,-1.600816,6.776743
