user,label,collection_datetime,device_timestamp,accel_x,accel_y,accel_z
ugur,1,2018-03-23 10:34:21,238047849001769,-0.12210429,0.48602295,9.718064
ugur,1,2018-03-23 10:34:21,238047789051615,-0.90500826,0.61291564,9.591172
ugur,1,2018-03-23 10:34:21,238047729099461,-0.4141969,1.1779473,12.672509
ugur,1,2018-03-23 10:34:21,238047668038961,1.0726024,1.6591818,13.634978
ugur,1,2018-03-23 10:34:21,238047607975808,-0.49081135,2.7269957,10.493786
ugur,1,2018-03-23 10:34:21,238047547565577,-0.7398083,2.3558946,9.232041
ugur,1,2018-03-23 10:34:21,238047486442615,-0.11252748,2.2481554,6.4164605
ugur,1,2018-03-23 10:34:21,238047426600115,-0.11971009,1.532289,7.501034
ugur,1,2018-03-23 10:34:21,238047367344846,-0.48123455,0.91219085,7.9367785
ugur,1,2018-03-23 10:34:21,238047308070231,-0.05746084,0.6991069,6.9958572
ugur,1,2018-03-23 10:34:21,238047248911616,1.2090719,0.4405331,11.171345
ugur,1,2018-03-23 10:34:21,238047189717693,1.9393034,1.7118542,8.889671
ugur,1,2018-03-23 10:34:21,238047130148231,-1.163582,0.40222588,15.74427
ugur,1,2018-03-23 10:34:21,238047070255731,0.48841715,1.1707647,12.557588
ugur,1,2018-03-23 10:34:21,238047010915000,-0.031124622,1.970428,10.493786
ugur,1,2018-03-23 10:34:21,238046951666808,0.16759412,1.9249382,9.569624
ugur,1,2018-03-23 10:34:21,238046891654308,0.39025488,2.0685902,7.9152308
ugur,1,2018-03-23 10:34:21,238046835758770,0.6584055,1.8770541,8.135497
ugur,1,2018-03-23 10:34:21,238046776194962,0.49799395,1.6519991,7.005434
ugur,1,2018-03-23 10:34:21,238046716388770,0.61291564,1.4939818,7.848193
ugur,1,2018-03-23 10:34:21,238046656930731,0.7589619,0.8523358,9.548077
ugur,1,2018-03-23 10:34:21,238046597325847,1.0103531,0.9744401,9.002198
ugur,1,2018-03-23 10:34:21,238046538141616,0.17477672,1.1013328,8.6574335
ugur,1,2018-03-23 10:34:21,238046482080078,0.31124622,1.1228806,12.3038025
ugur,1,2018-03-23 10:34:21,238046420179385,1.4532804,1.2785037,14.932636
ugur,1,2018-03-23 10:34:21,238046360817155,-0.48362875,2.6360161,10.007763
ugur,1,2018-03-23 10:34:21,238046300969924,0.0023942017,2.5019407,8.990228
ugur,1,2018-03-23 10:34:21,238046241435462,-0.15322891,2.1164744,8.896853
ugur,1,2018-03-23 10:34:21,238046181877578,-0.29927522,1.8962077,8.623915
ugur,1,2018-03-23 10:34:21,238046121541693,0.090979666,1.9369092,6.7492547
ugur,1,2018-03-23 10:34:21,238046062406424,0.0047884034,1.6472107,6.9240313
ugur,1,2018-03-23 10:34:21,238046003221616,0.545878,1.1803415,9.528923
ugur,1,2018-03-23 10:34:21,238045943760424,2.6910827,1.400608,9.445126
ugur,1,2018-03-23 10:34:21,238045883790001,0.7086837,1.127669,9.648633
ugur,1,2018-03-23 10:34:21,238045823332770,1.30484,0.7110779,14.975732
ugur,1,2018-03-23 10:34:21,238045764010694,1.7549498,2.0446482,10.54167
ugur,1,2018-03-23 10:34:21,238045704205694,0.51235914,2.0015526,11.104307
ugur,1,2018-03-23 10:34:21,238045644091347,0.48123455,2.0757728,8.5473
ugur,1,2018-03-23 10:34:21,238045584294655,0.7517793,1.8004397,8.257602
ugur,1,2018-03-23 10:34:21,238045523849578,0.41180268,1.4820108,8.611943
